text_display,video_source
Apakah SIT0wel senang melihat hasil ini ? 😂,Youtube
Hoki caraka masih dpake😂😂,Youtube
kulitas pelatih yg hk tau pemain mana aj yg fi pasang😂😂😂😂,Youtube
Towel kok diam-diam bae ya😅😅😅,Youtube
NAH BEGINI BARU KESUKAAN PARA PENGURUS PSSI KANN HEHEHE,Youtube
Pancen aneh si sapri...mengapa raven gak dimainkan...,Youtube
Tetap liat sepak bola eropa,Youtube
"Target tercapai, yg penting dapur sapri & tukimin ngebul, sumardji & hokky bisa jalan2 ke Thailand. Bagi mereka, persetan sepakbola Indonesia.",Youtube
Jersey nya kerenan ini sih 3:05,Youtube
Heran kok PSSI masih percaya sama indra sjafri.,Youtube
"Indonesia tanpa campur tangan sty, hanya serasa main tarkammm",Youtube
Koyo tarkam...,Youtube
"Mauro zilstra aja masih kalah bagus dari jens, malah starting terus kocak banget",Youtube
Knapa rekan 5dk.mainkan dari babak pertama,Youtube
GAYA PERMAINAN MASIH JAUH DARI HARAPAN 😢,Youtube
Lawan myanmar udah kek lawan arab saudi. Berat banget kyaknya sepak bola indo di semua umur semenjak ET buat blunder semuanya jadi merambat kayak listrik arus pararel 🥱🥱,Youtube
Olah raga sebol yg di anak emas kan kalah sama olah raga lain yg udah dpt banyak medali mas...,Youtube
"Sang juara bertahan,,,yg target nya perak😂😂😂😢😢😢",Youtube
Pensiun jadi pelatih untuk timnas,Youtube
"gol myanmar lahir dri kebego'an kadek arel, offside trap kok ngantung 1.",Youtube
Lho timnas maen ya,Youtube
Bung towel kmn,Youtube
"Flashback jaman Evan dimas u19 ges,, menurut kalian apakah strategi pelatih atau memang para pemain yang jago tiki Taka ?",Youtube
Pelatih Sapri taktik tarkam,Youtube
Nonton timnas flat BNR rasa ny. Kek gak ada greget2 ny skrng,Youtube
"Beda bgt kualitasnya wktu piala asia kmrn, ivar jener ga ada tandem minimnya pmain sayap 
 Lini blkng lemahh, 
 Kmrn bsa klhn yordania, australia, koreaa, dngn prmainan bgini sulit untuk brsaing di piala asia u23 nnti",Youtube
Ruu1❤,Youtube
Alhamdulillah prediksi Indonesia kalah...akhir nya ke nyataan..🫣🫣🫣,Youtube
"INI BARU ASEAN,YANG DIHADAPI BARU FHILIPINA,MYANMAR,TIMNAS EMPOT EMPOTAN.BELUM MALAYSIA,VIETNAM,THAILAND.artinya kelas kita cuma segitu,sekelas Laos,Singapura,Timor Leste,myanmar.mayoritas pemain ini gagal semua ditiap turnamen,kualifikasi piala asia,AFF ,dan sekarang sea games.",Youtube
